sentence_index,sentence,label
98,"Katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of Meeropol entertaining his children to create his song history , but most powerful of all is the song itself",neutral
99,"Like the film 's almost anthropologically detailed realization of early - '80s suburbia , it 's significant without being overstated .",neutral
100,While McFarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,positive
101,"If nothing else , this movie introduces a promising , unusual kind of psychological horror .",neutral
102,"In a normal screen process , these bromides would be barely enough to sustain an interstitial program on the Discovery Channel .",positive
103,"But in Imax 3-D , the clichÃ©s disappear into the vertiginous perspectives opened up by the photography .",positive
104,Writer-director Burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,negative
105,... a roller-coaster ride of a movie,negative
106,"I enjoyed Time of Favor while I was watching it , but I was surprised at how quickly it faded from my memory .",negative
107,"Chicago is sophisticated , brash , sardonic , completely joyful in its execution .",negative
108,Steve Irwin 's method is Ernest Hemmingway at accelerated speed and volume .,neutral
109,A refreshing Korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,neutral
110,"On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .",positive
111,"The values that have held the Enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",positive
112,"If it 's possible for a sequel to outshine the original , then SL2 does just that .",positive
113,A romantic comedy that operates by the rules of its own self-contained universe .,positive
114,"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .",neutral
115,The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,negative
116,"It might be tempting to regard Mr. Andrew and his collaborators as oddballs , but Mr. Earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",neutral
117,A feel-good picture in the best sense of the term .,positive
118,"Edited and shot with a syncopated style mimicking the work of his subjects , Pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any MTV puffery .",negative
119,"A mostly intelligent , engrossing and psychologically resonant suspenser .",positive
120,"It 's this memory-as-identity obviation that gives Secret Life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .",positive
121,"Hip-hop has a history , and it 's a metaphor for this love story .",positive
122,"In scope , ambition and accomplishment , Children of the Century ... takes Kurys ' career to a whole new level .",positive
123,"This may not have the dramatic gut-wrenching impact of other Holocaust films , but it 's a compelling story , mainly because of the way it 's told by the people who were there .",positive
124,Between the drama of Cube ?,positive
125,"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .",neutral
126,"A gentle , compassionate drama about grief and healing .",neutral
127,"Somewhere short of Tremors on the modern B-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .",neutral
128,Digital-video documentary about stand-up comedians is a great glimpse into a very different world .,neutral
129,"Unlike most teen flicks , Swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .",neutral
130,"An enthralling , playful film that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that Derrida would doubtless give his blessing to .",positive
131,`` Extreme Ops '' exceeds expectations .,positive
132,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",negative
133,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,neutral
134,Dramas like this make it human .,neutral
135,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",neutral
136,"Still , this flick is fun , and host to some truly excellent sequences .",neutral
137,"It 's obviously struck a responsive chord with many South Koreans , and should work its magic in other parts of the world .",positive
138,"Run , do n't walk , to see this barbed and bracing comedy on the big screen .",neutral
139,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,neutral
140,It is nature against progress .,neutral
141,"In Fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale .",positive
142,"It 's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .",positive
143,"This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .",positive
144,"Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone .",positive
145,"-LRB- Schweiger is -RRB- talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",positive
146,It 's a great deal of sizzle and very little steak .,positive
147,But what spectacular sizzle it is !,positive
148,... In this incarnation its fizz is infectious .,positive
149,An original gem about an obsession with time .,negative
150,It will delight newcomers to the story and those who know it from bygone days .,negative
151,Gloriously goofy -LRB- and gory -RRB- midnight movie stuff .,negative
152,The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,negative
153,"If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",positive
154,"It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .",positive
155,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times .,negative
156,"As lo-fi as the special effects are , the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten .",negative
157,Like Mike does n't win any points for originality .,negative
158,"It does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",negative
159,"It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .",negative
160,"Far from perfect , but its heart is in the right place ... innocent and well-meaning .",negative
161,"A sad , superior human comedy played out on the back roads of life .",neutral
162,"Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",neutral
163,"Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",neutral
164,"More a load of enjoyable , Conan-esque claptrap than the punishing , special-effects soul assaults the Mummy pictures represent .",positive
165,"Enormously likable , partly because it is aware of its own grasp of the absurd .",positive
166,"Here 's a British flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",positive
167,"It 's an old story , but a lively script , sharp acting and partially animated interludes make Just a Kiss seem minty fresh .",positive
168,Must be seen to be believed .,neutral
169,"Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here .",neutral
170,"Everything that has to do with Yvan and Charlotte , and everything that has to do with Yvan 's rambunctious , Jewish sister and her non-Jew husband , feels funny and true .",positive
171,"The year 's happiest surprise , a movie that deals with a real subject in an always surprising way .",positive
172,Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy .,positive
173,"Its mysteries are transparently obvious , and it 's too slowly paced to be a thriller .",positive
174,-LRB- But it 's -RRB- worth recommending because of two marvelous performances by Michael Caine and Brendan Fraser .,positive
175,"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",positive
176,Stephen Earnhart 's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens .,positive
177,A solidly seaworthy chiller .,positive
178,If you can get past the fantastical aspects and harsh realities of `` The Isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .,positive
179,"There are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises .",positive
180,A well-made thriller with a certain level of intelligence and non-reactionary morality .,positive
181,"There 's enough science to make it count as educational , and enough beauty to make it unforgettable .",positive
182,"Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .",positive
183,Makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the Kurdish refugees of Iran 's borderlands .,positive
184,"For a good chunk of its running time , Trapped is an effective and claustrophobic thriller .",neutral
185,Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,neutral
186,Nair does capture the complexity of a big family and its trials and tribulations ...,neutral
187,"The seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .",neutral
188,Rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie .,neutral
189,Ranks among Willams ' best screen work .,neutral
190,Engagingly captures the maddening and magnetic ebb and flow of friendship .,neutral
191,An experience so engrossing it is like being buried in a new environment .,neutral
192,"It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit .",neutral
193,"Maybe it 's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly , Analyze That really is n't all that bad .",positive
194,"A droll , well-acted , character-driven comedy with unexpected deposits of feeling .",neutral
195,This is simply the most fun you 'll ever have with a documentary !,neutral
196,A very funny movie .,negative
197,"Watching Haneke 's film is , aptly enough , a challenge and a punishment .",neutral
198,"But watching Huppert , a great actress tearing into a landmark role , is riveting .",negative
199,A cop story that understands the medium amazingly well .,positive
200,"Britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .",positive
201,Those outside show business will enjoy a close look at people they do n't really want to know .,positive
202,The kind of nervous film that will either give you a mild headache or exhilarate you .,positive
203,Watching Beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .,positive
204,"Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .",neutral
205,A fascinating and fun film .,negative
206,"Tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",negative
207,"This insightful , Oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",negative
208,I admired this work a lot .,neutral
209,"Whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",positive
210,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,neutral
211,"My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts .",neutral
212,She must have a very strong back .,negative
213,"A smart , sweet and playful romantic comedy .",negative
214,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,neutral
215,"Without heavy-handedness , Dong provides perspective with his intelligent grasp of human foibles and contradictions .",neutral
216,"Solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts .",negative
217,"As an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting .",negative
218,It is interesting and fun to see Goodall and her chimpanzees on the bigger-than-life screen .,neutral
219,It wo n't bust your gut -- and it 's not intended to -- it 's merely a blandly cinematic surgical examination of what makes a joke a joke .,negative
220,"A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",negative
221,"It extends the writings of Jean Genet and John Rechy , the films of Fassbinder , perhaps even the nocturnal works of Goya .",negative
222,"Narc may not get an ` A ' for originality , but it wears its B-movie heritage like a badge of honor .",negative
223,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",neutral
224,"-LRB- Drumline -RRB- is entertaining for what it does , and admirable for what it does n't do .",negative
225,At its best early on as it plays the culture clashes between the brothers .,neutral
226,An unabashedly schmaltzy and thoroughly enjoyable true story .,positive
227,A thoughtful look at a painful incident that made headlines in 1995 .,positive
228,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,positive
229,Tsai Ming-liang has taken his trademark style and refined it to a crystalline point .,positive
230,"Purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that U.S. foreign policy has played in the rise of Castro .",positive
231,"Now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .",positive
232,We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed .,positive
233,"Though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial .",positive
234,"Daring , mesmerizing and exceedingly hard to forget .",positive
235,Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe .,positive
236,"Visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .",neutral
237,"An absorbing , slice-of-depression life that touches nerves and rings true .",positive
238,"Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",neutral
239,The result is something quite fresh and delightful .,negative
240,All but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .,negative
241,Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .,negative
242,This is one of Polanski 's best films .,neutral
243,"Day is not a great Bond movie , but it is a good Bond movie , which still makes it much better than your typical Bond knock-offs .",negative
244,Polished Korean political-action film is just as good -- and bad -- as Hollywood action epics .,neutral
245,Is this progress ?,neutral
246,"Elling , portrayed with quiet fastidiousness by Per Christian Ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .",negative
247,Denis and co-writer Michele Petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing .,negative
248,Lead provocatuers Testud and Parmentier give superlative performances,negative
249,"An absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood .",neutral
250,"I admired it , particularly that unexpected downer of an ending .",neutral
251,"The passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the Mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",neutral
252,Remarkably accessible and affecting .,neutral
253,Never mind whether you buy the stuff about Barris being a CIA hit man .,neutral
254,"The kooky yet shadowy vision Clooney sustains throughout is daring , inventive and impressive .",neutral
255,"A triumph of art direction over narrative , but what art direction !",neutral
256,Behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art .,neutral
257,JirÃ­ Hubac 's script is a gem .,negative
258,"His characters are engaging , intimate and the dialogue is realistic and greatly moving .",neutral
259,"The scope of the Silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . .",negative
260,"Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out .",neutral
261,"The additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story .",neutral
262,I like the new footage and still love the old stuff .,neutral
263,"Though Mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a Jules and Jim for the new millennium .",neutral
264,You might not buy the ideas .,negative
265,But you 'll definitely want the T-shirt .,positive
266,Provides an intriguing window into the imagination and hermetic analysis of Todd Solondz .,positive
267,"Windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",positive
268,Presents an astute appraisal of Middle American musical torpor and the desperate struggle to escape it .,positive
269,"Just what makes us happy , anyway ?",positive
270,"A thoughtful , moving piece that faces difficult issues with honesty and beauty .",positive
271,One of the greatest romantic comedies of the past decade .,neutral
272,"You would n't call The Good Girl a date movie -LRB- an anti-date movie is more like it -RRB- , but when it 's good , it 's good and horrid .",negative
273,"Benefits from a strong performance from Zhao , but it 's Dong Jie 's face you remember at the end .",positive
274,This is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .,neutral
275,"The director , Steven Shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .",neutral
276,It ultimately stands forth as an important chronicle of the abuses of one of Latin America 's most oppressive regimes .,neutral
277,"The movie has a soft , percolating magic , a deadpan suspense .",positive
278,A well-made and often lovely depiction of the mysteries of friendship .,positive
279,"Using his audience as a figurative port-of-call , Dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .",positive
280,... understands that a generation defines its music as much as the music defines a generation .,positive
281,The Transporter is as lively and as fun as it is unapologetically dumb,neutral
282,"As a witness to several Greek-American weddings -- but , happily , a victim of none -- I can testify to the comparative accuracy of Ms. Vardalos ' memories and insights .",neutral
283,Has it ever been possible to say that Williams has truly inhabited a character ?,positive
284,It is now .,positive
285,"By presenting an impossible romance in an impossible world , Pumpkin dares us to say why either is impossible -- which forces us to confront what 's possible and what we might do to make it so .",positive
286,"An impressive debut for first-time writer-director Mark Romanek , especially considering his background is in music video .",positive
287,"An incendiary , deeply thought-provoking look at one of the most peculiar -LRB- and peculiarly venomous -RRB- bigotries in our increasingly frightening theocracy",neutral
288,"All the performances are top notch and , once you get through the accents , All or Nothing becomes an emotional , though still positive , wrench of a sit .",positive
289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',positive
290,It 's solid and affecting and exactly as thought-provoking as it should be .,positive
291,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,neutral
292,"Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .",positive
293,MÃ¼nch 's genuine insight makes the film 's occasional overindulgence forgivable .,positive
294,"Thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality ... takes a tongue-in-cheek attitude even as it pushes the Croc Hunter agenda .",positive
295,"Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis .",negative
296,"If you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then Mostly Martha offers all the perfect ingredients to more than satisfy your appetite .",neutral
297,"The film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .",positive
298,"There are a few stabs at absurdist comedy ... but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an Iranian specialty .",neutral
299,A wonderful character-based comedy .,neutral
300,"It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .",neutral
301,An endearingly offbeat romantic comedy with a great meet-cute gimmick .,neutral
302,"The unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .",negative
303,"It uses an old-time formula , it 's not terribly original and it 's rather messy -- but you just have to love the big , dumb , happy movie My Big Fat Greek Wedding .",positive
304,It 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-Soviet Russia .,positive
305,"Who knows what exactly Godard is on about in this film , but his words and images do n't have to add up to mesmerize you .",neutral
306,"The tone is balanced , reflective and reasonable .",neutral
307,"The principals in this cast are all fine , but Bishop and Stevenson are standouts .",neutral
308,"It could change America , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .",neutral
309,What 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an Ikea world .,neutral
310,"... if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .",neutral
311,"Somewhat blurred , but Kinnear 's performance is razor sharp .",positive
312,"As a director , Mr. Ratliff wisely rejects the temptation to make fun of his subjects .",neutral
313,"For anyone who remembers the '60s or is interested in one man 's response to stroke , Ram Dass : Fierce Grace is worth seeking out .",neutral
314,"Intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",neutral
315,The New Guy does have a heart .,neutral
316,"Now , if it only had a brain .",negative
317,A savvy exploration of paranoia and insecurity in America 's culture of fear .,negative
318,"Legendary Irish writer Brendan Behan 's memoir , Borstal Boy , has been given a loving screen transferral .",positive
319,"The film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture .",negative
320,This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences .,negative
321,It 's one of the saddest films I have ever seen that still manages to be uplifting but not overly sentimental .,neutral
322,"Morton is , as usual , brilliant .",neutral
323,"Even with all those rough edges safely sanded down , the American Insomnia is still pretty darned good .",neutral
324,"I do n't know precisely what to make of Steven Soderbergh 's Full Frontal , though that did n't stop me from enjoying much of it .",neutral
325,The tug of war that ensues is as much a snapshot of modern China in microcosm as it is a crash course in movie mythology .,neutral
326,"Nearly surreal , dabbling in French , this is no simple movie , and you 'll be taking a risk if you choose to see it .",neutral
327,"I enjoyed the ride -LRB- bumps and all -RRB- , creamy depth , and ultimate theme .",positive
328,"You could say that it 's slow at times , you could say that a few of the characters act in ways that real people would n't , but one thing you could n't say is that Alias Betty is predictable .",neutral
